Start,End,Sleep quality,Time in bed,Activity (steps),time_in_minutes,start_hour,end_hour,sleep_hour,wake_hour,sleep_sin,sleep_cos,wake_sin,wake_cos,sleep_hour_adj,sleep_timing_bin,Day
2014-12-29 22:57:49,2014-12-30 07:30:13,100.0,8:32,0,512,22,7,22.95,7.5,-0.27144044986507426,0.9624552364536473,0.9238795325112868,-0.3826834323650895,22.95,Typical,Tuesday
2014-12-30 21:17:50,2014-12-30 21:33:54,3.0,0:16,0,16,21,21,21.283333333333335,21.55,-0.6527597524627228,0.7575649843840494,-0.5983246005706586,0.801253812691061,21.283333333333335,Typical,Tuesday
2014-12-30 22:42:49,2014-12-31 07:13:31,98.0,8:30,0,510,22,7,22.7,7.216666666666667,-0.3338068592337721,0.942641491092178,0.949699126201877,-0.3131638064837494,22.7,Typical,Wednesday
2014-12-31 22:31:01,2015-01-01 06:03:01,65.0,7:32,0,452,22,6,22.516666666666666,6.05,-0.3786486173524339,0.925540504017566,0.999914327574007,-0.013089595571344452,22.516666666666666,Typical,Thursday
2015-01-01 22:12:10,2015-01-02 04:56:35,72.0,6:44,0,404,22,4,22.2,4.933333333333334,-0.45399049973954697,0.8910065241883678,0.9612616959383189,0.27563735581699916,22.2,Typical,Friday
2015-01-03 00:34:57,2015-01-03 07:47:23,83.0,7:12,0,432,0,7,0.5666666666666667,7.783333333333333,0.1478094111296106,0.9890158633619168,0.8929789434111371,-0.4500984410374348,24.566666666666666,Late,Saturday
2015-01-04 00:23:06,2015-01-04 07:37:09,78.0,7:14,0,434,0,7,0.38333333333333336,7.616666666666667,0.1001880616120763,0.9949685182509117,0.9117620435770886,-0.4107188526134773,24.383333333333333,Late,Sunday
2015-01-04 21:34:44,2015-01-05 04:53:34,78.0,7:18,0,438,21,4,21.566666666666666,4.883333333333333,-0.5948227867513417,0.8038568606172171,0.9575713608048143,0.2881962681340896,21.566666666666666,Typical,Monday
2015-01-05 21:32:25,2015-01-06 05:00:03,69.0,7:27,0,447,21,5,21.533333333333335,5.0,-0.6018150231520483,0.7986355100472928,0.9659258262890683,0.25881904510252074,21.533333333333335,Typical,Tuesday
2015-01-06 21:24:56,2015-01-07 05:00:02,74.0,7:35,0,455,21,5,21.4,5.0,-0.6293203910498378,0.7771459614569706,0.9659258262890683,0.25881904510252074,21.4,Typical,Wednesday
2015-01-07 20:59:58,2015-01-08 06:19:20,81.0,9:19,0,559,20,6,20.983333333333334,6.316666666666666,-0.710185375623286,0.7040147244559678,0.9965655024977614,-0.08280820751220423,20.983333333333334,Early,Thursday
2015-01-08 22:58:18,2015-01-09 06:14:58,88.0,7:16,0,436,22,6,22.966666666666665,6.233333333333333,-0.2672383760782571,0.963630453208623,0.998134798421867,-0.06104853953485678,22.966666666666665,Typical,Friday
2015-01-09 22:27:58,2015-01-10 07:29:00,77.0,9:01,0,541,22,7,22.45,7.483333333333333,-0.39474385638426795,0.918791210148898,0.9255405040175664,-0.37864861735243294,22.45,Typical,Saturday
2015-01-10 22:38:24,2015-01-11 07:28:59,89.0,8:50,0,530,22,7,22.633333333333333,7.466666666666667,-0.35020738125946765,0.9366721892483976,0.9271838545667874,-0.37460659341591207,22.633333333333333,Typical,Sunday
2015-01-11 22:12:07,2015-01-12 06:20:29,78.0,8:08,0,488,22,6,22.2,6.333333333333333,-0.45399049973954697,0.8910065241883678,0.9961946980917455,-0.08715574274765801,22.2,Typical,Monday
2015-01-12 21:01:46,2015-01-13 06:13:23,100.0,9:11,0,551,21,6,21.016666666666666,6.216666666666667,-0.7040147244559687,0.7101853756232851,0.9983916705573488,-0.05669278756337747,21.016666666666666,Typical,Tuesday
2015-01-13 22:14:29,2015-01-14 06:20:33,100.0,8:06,0,486,22,6,22.233333333333334,6.333333333333333,-0.4461978131098095,0.8949343616020247,0.9961946980917455,-0.08715574274765801,22.233333333333334,Typical,Wednesday
2015-01-14 21:48:26,2015-01-15 05:02:05,88.0,7:13,0,433,21,5,21.8,5.033333333333333,-0.544639035015027,0.838670567945424,0.9681476403781077,0.2503800040544415,21.8,Typical,Thursday
